recommender,runtime
"Recommender from GameGenresSimilarity (GameGenres(thres=0.68, perm=128, part=32))",240.205006
"Recommender from GameGenresSimilarity (GameGenres(thres=0.80, perm=128, part=32))",235.475374
"Recommender from GameGenresSimilarity (GameGenres(thres=1.00, perm=128, part=32))",19.075628
"Recommender from GamePublishersSimilarity (GamePublishers)",3021.032981
"Recommender from PearsonGameTagSimilarity with game_tags=GameTags(thres=0.30, idf_w=0.00, perm=128, part=32)",12546.611001
"Recommender from PearsonGameTagSimilarity with game_tags=GameTags(thres=0.30, idf_w=0.30, perm=128, part=32)",11194.176701
"Recommender from PearsonGameTagSimilarity with game_tags=GameTags(thres=0.30, idf_w=0.60, perm=128, part=32)",10143.358709
"Recommender from PearsonGameTagSimilarity with game_tags=GameTags(thres=0.42, idf_w=0.00, perm=128, part=32)",9503.363000
"Recommender from PearsonGameTagSimilarity with game_tags=GameTags(thres=0.42, idf_w=0.30, perm=128, part=32)",8701.973560
"Recommender from PearsonGameTagSimilarity with game_tags=GameTags(thres=0.42, idf_w=0.60, perm=128, part=32)",7726.874000
"Recommender from PearsonGameTagSimilarity with game_tags=GameTags(thres=0.55, idf_w=0.00, perm=128, part=32)",3372.072216
"Recommender from PearsonGameTagSimilarity with game_tags=GameTags(thres=0.55, idf_w=0.30, perm=128, part=32)",2815.234818
"Recommender from PearsonGameTagSimilarity with game_tags=GameTags(thres=0.55, idf_w=0.60, perm=128, part=32)",2313.003346
"Recommender from PearsonGameTagSimilarity with game_tags=GameTags(thres=0.68, idf_w=0.00, perm=128, part=32)",1015.882503
"Recommender from PearsonGameTagSimilarity with game_tags=GameTags(thres=0.68, idf_w=0.30, perm=128, part=32)",870.830000
"Recommender from PearsonGameTagSimilarity with game_tags=GameTags(thres=0.68, idf_w=0.60, perm=128, part=32)",703.102500
"Recommender from PearsonGameTagSimilarity with game_tags=GameTags(thres=0.80, idf_w=0.00, perm=128, part=32)",897.511500
"Recommender from PearsonGameTagSimilarity with game_tags=GameTags(thres=0.80, idf_w=0.30, perm=128, part=32)",740.985000
"Recommender from PearsonGameTagSimilarity with game_tags=GameTags(thres=0.80, idf_w=0.60, perm=128, part=32)",637.719827
"Recommender from PearsonGameTagSimilarity with game_tags=GameTags(thres=1.00, idf_w=0.00, perm=128, part=32)",75.416596
"Recommender from PearsonGameTagSimilarity with game_tags=GameTags(thres=1.00, idf_w=0.30, perm=128, part=32)",75.289622
